"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Подгузники","Грязный","10-мар.-2022 14:15","10-мар.-2022 14:15",""
"Сон","","10-мар.-2022 13:19","10-мар.-2022 14:03",""
"Досуг","Игры","10-мар.-2022 12:57","10-мар.-2022 13:08","31 минуту спал, недогул"
"Сон","","10-мар.-2022 12:20","10-мар.-2022 13:19","без груди засыпал"
"Досуг","Игры","10-мар.-2022 12:09","10-мар.-2022 12:21",""
"Кормление","Еда","10-мар.-2022 11:50","10-мар.-2022 11:50","цветная капуста, горох, мясо, кабачки, груши"
"Кормление","Правая Грудь","10-мар.-2022 11:29","10-мар.-2022 11:29",""
"Кормление","Левая Грудь","10-мар.-2022 11:29","10-мар.-2022 11:29",""
"Кормление","Правая Грудь","10-мар.-2022 10:49","10-мар.-2022 10:49",""
"Кормление","Левая Грудь","10-мар.-2022 10:49","10-мар.-2022 10:49",""
"Досуг","Игры","10-мар.-2022 09:59","10-мар.-2022 10:22",""
"Сон","","10-мар.-2022 09:19","10-мар.-2022 10:26","без груди"
"Досуг","Игры","10-мар.-2022 09:07","10-мар.-2022 09:20",""
"Подгузники","Грязный","10-мар.-2022 08:42","10-мар.-2022 08:42",""
"Кормление","Правая Грудь","10-мар.-2022 07:44","10-мар.-2022 07:44",""
"Кормление","Левая Грудь","10-мар.-2022 07:44","10-мар.-2022 07:44",""
"Сон","","10-мар.-2022 06:29","10-мар.-2022 07:22",""
"Сон","","09-мар.-2022 19:35","10-мар.-2022 04:53",""
"Досуг","Игры","09-мар.-2022 18:53","09-мар.-2022 19:16",""
"Подгузники","Грязный","09-мар.-2022 18:06","09-мар.-2022 18:06","в ванной"
"Кормление","Еда","09-мар.-2022 18:06","09-мар.-2022 18:06",""
"Досуг","Купание","09-мар.-2022 16:48","09-мар.-2022 16:53","шампунь"
"Досуг","Игры","09-мар.-2022 15:53","09-мар.-2022 16:20",""
"Сон","","09-мар.-2022 15:06","09-мар.-2022 16:43",""
"Досуг","Игры","09-мар.-2022 15:04","09-мар.-2022 15:17",""
"Кормление","Еда","09-мар.-2022 14:50","09-мар.-2022 14:50","груша, цветная капуста"
"Подгузники","Грязный","09-мар.-2022 14:20","09-мар.-2022 14:20",""
"Досуг","Игры","09-мар.-2022 12:49","09-мар.-2022 13:10","не получилось"
